message,label
"	kecewa berat,kirain bisa langsung pinjam ternyata engga,pas saya baca ""pinjam PAS butuh"" padahal sekarang saya butuh banget buat biaya adek sekolah, harus sampe kapan bisa?saya butuh banget",No
bangke ga jelas,No
KOMENTAR POSITIF banyak.. Dan aku Mau coba Juga pakai... Kalau Ternyata ..Buruk.. bintang Aku Ubah jadi SATU BINTANG... thanks,No
"	suka banget sama aplikasi yg satu ini aman, pendaftaran nya mudah dan bebas admin untuk pengiriman",No
super bank keren pelayanan nya ramah cocok buat tabungan masa depan saya terim kasih superbank,No
"	super bank memang ok cocok banget buat tabungan, pengiriman gratis tanpa potongan admin mantap super bank",No
aplikasi ini membuat permudah dan mudah di pahami mantp pokoknya dan tidak kecewa di jamin,No
"	Selama pakai aplikasi ini digunakan nya mudah sekali untuk bertransaksi karna bebas biaya admin, gratis transfer kemanapun, dan yg paling penting nabung di aplikasi digital banking ini bikin untung karna suku bunga nya yg tinggi. Rekomendasi banget deh ! Terus tingkatkan keamanan nya supaya makin nyaman pakai aplikasi ini.",No
"        tolong admin...jangan terlalu ribet utk pendaftaran di awal nya....utk sebagai pengguna baru di aplikasi nya... segala ke pengaturan hp lock yaaaaa apapun itu system nya utk keamanan...cuma,terkesan gak nyambung aja...dan tidak mendasar definisi nya...yg di perlukan disini...data calon nasabah nya...atow data hp si pengguna nya seh ??? udah di ikutin utk pin lock hp saya nya...malah gak ke buka ke buka 🤷",No
Seneng banget bisa pakai aplikasi ini karna bisa transfer tanpa biaya admin dan prosesnya juga gak lemot untuk hp android,No
"	banyak diskon tiap harinya, transaksi lancar aman jaya, daftar akun ga ribet bebass biaya admin aplikasi nya nyaman untuk saya yang pengguna android tidak boros batrei cocok buat yang mau nabung untung 👍🏻👍🏻👍🏻",No
jelek. klik daftar - masukkan nomor - minta otp sampe rela nunggu 3 jam tetep aja gadateng-dateng otp nya. dikira minta uang kali,No
"Sudah berulangi kali daftar tidak bisa alasanya data tidak sesuai,cs nya ribet pangajuan pinjamannya susah",Yes
"	Bagus, QRIS tap belum ada dan masih kurang ekosistem untuk UMKM maupun integrasi ke streaming dan masih banyak lagi.",No
pengajuan pinjaman tdk bisa proses padahal saya driver harus membantu para driver ojol grab yg sedang kesulitan mencari dana supaya mempermudah pelayanan,No
"	Daftar dan mulai nabung untung di sini mudah banget! Hanya butuh beberapa menit dan tanpa biaya tambahan. Recommended banget buat pemula, Fitur-fiturnya lengkap dan sangat membantu kebutuhan harian. Saya suka karena bisa langsung transfer tanpa harus bayar admin. Nabung untung banget!",No
"	layanan customer service-nya responsif, dan bunga tabungan cukup menarik. aplikasi ringan, ga bikin HP lemot. suka juga sama fitur nabung otomatisnya",No
"	enakan habis intal aja HBS itu ya hambar, dikit"" admin, terima uang pun kena admin.",No
"	nabung untung di aplikasi ini, ada bebas biaya admin perbulannya, fiturnya juga easy to use, mantaplah",No
kecewa...sy transfer via BI fast.jumlah 4jt...semalaman saldo di rek super bank ngk nambah² saldo sdh kepotong....hadeeeeh...,No
"	tolong lah di perbaiki sistemnya, kalau enggak ga usah ngiklan terus di ovo, kendala nya ovo udah premire update superbank ket ovo belum premire,ini gimana buat rekomendasi ke CS lainya",No
Aplikasi sangat bagus cocok untuk menabung dan juga keren loh biaya admin gratis,No
"	Baru kali ini menemukan aplikasi digital banking yang pendaftarannya cepet dan dijamin aman banget. Bisa nabung juga yang pasti untung banyak. Transaksi juga lancar banget, bebas biaya admin pulang, mantep banget pokoknya.",No
jelek,No
katanya 2 kali sehari. tanggal 7 kmrn belum masuk smpe hari ini. kecewa,No
"	ApLikasi apaan.. SANGAT COCOK UNTUK PELAYANANNYA.! 👎🏻 baru aja ngajuin, udah maen TOLAK.! kalo kaya gini Gak usah ada Iklan atau penawarn lewat iklan. Bikin SPAM aja.!",No
"	Suka banget sama aplikasinya, nabung di superbank bikin untung, udah gitu free transfer sampai 200x dan bebas biaya admin",No
"	Aplikasi Digital Banking tergood, banyak dapet diskon Grab, bisa buat nabung bikin untung dan tentunya bebas biaya admin mantap",No
"	sangat mengecewakan,gk amanah masa uang saya tranper ke aplikasi ini gk masuk saldo nya malah ngilang ,sangat kecewa",No
"	tampilan nya bagus, fitur yang tersedia sangat membantu, pelayanan nya super cepat",No
"	kecewa, member baru sekaligus transfer dari ovo ke aplikasi superbank 450 ribu belum masuk2 udah 2 hari...TITIK KECEWA",No
jelek,No
"	Ada free admin, untung juga nabung disini, mantap pokoknya",No
"	aplikasi ini sangat membantu sekali biaya admin yg sangat murah, ga nyesal pakai aplikasi ini",No
"	mudah di akses untuk pengguna android,free transfer serta bebas biaya admin,nyaman deh pokoknya",No
"	mantap min, TF sana sini mudah bgt, bebas biaya admin lagi, cocok bgt sama aku yang peritungan bgt Ama duit😆",No
"	aplikasi ini bantu banget buat kegiatan sehari hari, apalagi selalu ada aja promonya. kelebihannya juga bisa free transfer sebanyak 200x tanpa biaya admin. luv banget",No
wahhh superbank bener bener bisa untung nabung . penyelamat dikala bingung mau naro uang dimana. selain mudah praktis banyak fitur lain yg mempermudah transaksi. mudah cepat dan ngga ribet cuma di superbank .. dan yang penting bebass biaya admin. suka bgtttt,No
Aplikasi bank digital dengan menabung yang aman dan juga bebas admin setiap transfer ke bank lain,No
kecewa...sy transfer via BI fast.jumlah 4jt...semalaman saldo di rek super bank ngk nambah² saldo sdh kepotong....hadeeeeh...3X24jam..saldo sy belum juga kembali gaess...banksuper lelet & mengecewakan...!!!,No
"Jeda waktu antara tarik dengan pembayaran 15 hari instead of 30 hari. Sudah chat cs live maupun email untuk minta solusi tapi cuma dioper oper aja. Ujung-ujungnya nanti playing victim bilang kalo debiturnya yg gak mau bayar. Ini gak adakah SOP untuk cs nya misalkan gak bisa handle case nya harus gimana, instead of ngasi jawaban template yg gak jelas dan gak membantu sama skali? 😒",Yes
"	bagus banget aplikasinya, kalau mau mengirim tanpa admin, jadi tidak usah khawatir saldo akan terpotong",No
"	Aplikasi ini sangat mudah digunakan untuk bertransaksi, terutama karena bebas biaya admin dan transfer ke bank mana pun. Selain itu, menabung di digital banking ini sangat menguntungkan berkat suku bunga tinggi. Saya sangat merekomendasikan aplikasi ini! Mohon terus tingkatkan keamanannya agar pengguna semakin nyaman.",No
"	JANGAN INSTALL APLIKASI INI, LIMIT HANYA DEKORASI, GA BISA DI ACC, HUBUNGI CS UDAH 2 BULAN GA ADA HASIL",Yes
admin kartu SIM saya rusak saya mau bikin kartu SIM dengan nomor yg sama tidak bisa karena dulu kartu SIM tidak pake KTP/KK saya tidak bisa login akun superbank Imel aktif. WhatsApp aktif sandi saya ingat apa solusinya,No
"	Saya melakukan sebuah transaksi pada tanggal 11/06/2025 melalui superbank ke dana, tetapi tidak masuk. Saya sudah menghubungi cs superbank pun tidak ada jawaban dan tidak ada satupun jawaban atas masalah saya. Aplikasi bank terburuk yang pernah ada, ampas.",Yes
"	wahh beneran deh nabung di super bank untung banget, Aplikasi Digital Banking yang wajib di coba buat kamu yang sering transfer top up dan lain lain, karena free admin",No
"	Suka banget aplikasinya tdk ribet yg pling penting aman dan bebas biaya admin, bisa untuk pengguna android",No
"	Buka tabungan cepat dan mudah, aplikasi aman banget, dan juga sangat menarik. Selain bunga depositnya tinggi, free biaya admin untuk 200x transaksi. Ini baru yg dinamakan 'nabung untung'",No
"	Senang sekali dengan aplikasi superbank, karena connect langsung dengan ovo. selain itu pendaftaran nya juga mudah dan cepat. bebas biaya administrasi dan bunga nya juga lumayan tinggi dibandingkan bank lain...",No
jelek,No
"	aplikasi ini sangat membantu sekali karena bisa menyimpan saldo berapa aja, tidak ada limit dan bebas biaya admin bulanan",No
"	ini aplikasi super duper nyaman dan dapat di andelin dengan transfer gratis per bulannya,ccok bgt buat buka usahaa mau tranfer gratis biaya admin?transfer lancar tanpa bug?ya superbankkk",No
"OTP susah, face id gabisa. hadeh aplikasi bank paling buruk👎🏻",No
"	Aplikasinya ringan, stabil di berbagai versi Android, dan cocok banget buat pengguna HP dengan spesifikasi menengah. Daftar akun super cepat, bebas biaya admin, dan ada 200x free transfer! Ditambah lagi bunga deposito tinggi, banyak promo menarik, plus diskon GrabFood & GrabBike yang bikin makin hemat di aktivitas harian!",No
"	First time pake aplikasi superbank, super aman banget nyimpen uang, gak ribet, bebas biaya admin dan bisa banget dapet promo dari Grabfood & Grabbike.. pokoknya salah satu aplikasi digital banking yg wajib ada di hp kita 😍😍😍",No
Baru pertama kali ketemu apk yang pendaftaran nya mudah gratis transfer 200x tanpa admin segala jenis kebutuhan ada disini pokoknya the best deh superbank,No
"	membalas jawaban atas review sebelumnya , kalau saya ingat pernah buka celengan ku atau deposit saya gak mungkin gagal , pertanyaan dan S.O.P nya ribet , kalau kurang yakin bisa video call seperti atau buat video dengan surat pernyataan dengan materai dan KTP . seperti allo bank .",Yes
"	Daftar dan mulai nabung untung di sini mudah banget! Hanya butuh beberapa menit dan tanpa biaya tambahan. Recommended banget buat pemula, Fitur-fiturnya lengkap dan sangat membantu kebutuhan harian. Saya suka karena bisa langsung transfer tanpa harus bayar admin. Nabung untung banget!",No
"	Daftar dan mulai nabung untung di sini mudah banget! Hanya butuh beberapa menit dan tanpa biaya tambahan. Recommended banget buat pemula, Fitur-fiturnya lengkap dan sangat membantu kebutuhan harian. Saya suka karena bisa langsung transfer tanpa harus bayar admin. Nabung untung banget!",No
aplikasi aneh.setiap mau daftar mengajukan selalu tampil data kurang apa lah.seharusnya klo emg harus di perbarui.ksih tau dimana salahnya,No
"	aplikasi jelek dikit dikit suruh hubungi super care, dan super carenya ga ngasih solusi cmn ngabis ngabisin pulsa wkwkwk, ribet dah mending bank digital lain deh dari pada saldo kalian terkurung",Yes
"	Dengan aplikasi ini pembayaran jadi lebih mudah, bebas biaya admin. Banyak promo juga, cocok banget untuk yang dikit-dikit ngegrab ada potongan juga lohhhh 🥰🥰",No
"	superbank sangat baik, tidak ribet dan tidak bertele tele, sangat cocok buat kita yang ingin mempunyai bank digital. fiturnya juga lengkap,",No
gmn sich setiap pengajuan...slalu data kurang lengkap,No
"	Super Bank sangat praktis dan cepat! Proses buka rekening hanya butuh beberapa menit, aplikasinya ringan dan mudah digunakan. Fitur lengkap—dari transfer, top up e-wallet, hingga bayar tagihan harian. Promo cashback dan reward-nya juga menguntungkan. CS responsif dan ramah. Sangat cocok untuk kebutuhan perbankan digital sehari-hari. 👍",No
"	pakai aplikasi ini aman banget gaiss, proses registrasi nya juga mudah, selain itu juga banyak promo promo menarik di dalam aplikasi nya dan juga gratis biaya admin, suka banget dehh!",No
daftar akun langsung dari aplikasi dan proses nya cepet banget! nggak ribet sama sekali dan bebas biaya admin,No
"	Super Bank sangat praktis dan cepat! Proses buka rekening hanya butuh beberapa menit, aplikasinya ringan dan mudah digunakan. Fitur lengkap dari transfer, top up e-wallet, hingga bayar tagihan harian. Promo cashback dan reward-nya juga menguntungkan. CS responsif dan ramah. Sangat cocok untuk kebutuhan perbankan digital sehari-hari pokonya rekomen deh buat yang Mau buka rekening",No
"	Aplikasi aneh, mau daftar aja gagal mulu dg alasan data tidak sesuai, daftarnya cuma 1x sehari, gajelas bgt, kurang jelas gimana udah pakai KTP dg gambar yg sangat jelas, bank lain aja mudah aja kok daftarnya",No
"	aplikasi terbaikk,banyak promoo,sangat membantu juga pokoknya aplikasi terbaikk yang pernah aku temui,ga susah juga cara pakainya free biaya admin jga bikin ga ribetttt transaksi",No
"	Pencairan pinjaman cepet dan mudah banget seneng banget bisa upgrade dari akun ovo saya ke ovo nabung superbank,bisa nabung tanpa biaya admin.",No
aplikasi bank digital yang sangat bagus mudah untuk melakukan transaksi dan gratis biaya admin,No
"	aplikasi nya bagus banget,nabung jadi aman banget,aplikasi digital banking,mempermudah transaksi juga karena prosesnya cepet banget, dan yang bikin suka dari aplikasi Superbank karena bebas biaya admin,banyak promo juga,",No
"	Desainnya modern, perfomanya cepat, dan pas banget buat gaya hidup digitalku yang serba praktis, aplikasi digital banking ini benar benar tanpa ribet dan bebas biaya admin",No
mao ngajuin pinjaman GK bisa kerna BI nya Ter indikasi jelek.. coba aja bisa ngajuin pasti tak bayar .. seperti jullo kerja SMA ke greb tak bayarin terus Ampe lunas.. kembangin dong biar bisa kerja SMA ke aplikasi greb biar memamahmi pasti bayar,No
"	aplikasinya aman banget buat nabung, gratis transfer tanpa biaya admin juga pokoknya cocok deh untuk aktivitas sehari hari",No
masih kurang mantul soalnya suka pake tapi engga muncul fitur PAS nya,No
"	semenjak download jadi suka banget sama aplikasi ini. selain bisa 200× free transfer, bebas biaya admin juga! benar benar untung banget dan dijamin sangat aman",No
aplikasi buruk,No
"	saya tidak tau no perusahan , saya hnya bisa terain no hp admin kantor , tp tidak ACC jga , mohon data saya dihapus , apabila data saya disalah gunakan saya tidak bertanggung jawab atas pinjaman tersebut terimakasih 🙏",No
bagus apk nya sangat memuaskan membantu saya sekali terimakasih admin,No
"	16 Mei 2025 diperangkat s25 Ultra eror tidak bisa dipakai aplikasinya, sedangkan di hp lain bisa, sudah dicoba berbagai cara yang disarankan admin superbank tapi tetap tidak bisa. udah berjalan seminggu lebih masih belum bisa juga, minta tolong diperbaiki bugnya! 20 Juni 2025 *edited, sepertinya memang tidak ada tindakan dari pihak bank ya.. mengecewakan sudah berjalan 1 bulan lebih masih sama saja 🫣🙂‍↔️",No
"	Alhamdulillah saya sudah pakai aplikasi kurang lebih 2 tahun , aplikasi nya aman banget , cocok untuk era digital sekarang",No
"	ini tuh aplikasi digital banking yang aman baget untuk nabung selain itu, untung pula karena bisa dapet diskon d grab, prosesnya sat set dan bebas admin. top deh.",No
"	aplikasi digital banking yg gampang banget di gunain sehari2. tanpa biaya admin bulanan, free biaya transfer,dan simple",No
1. Aplikasi udah lumayan bagus dan satset cuma kurang rekomended menurutku karena cuma bisa simpan uang dan scan qris sekalipun mau transaksi lain harus di TF ke bank lain dlu atau OVO dimana harus nambah aplikasi 2. Pinjaman superbank tidak rekomendasi banget karena bunga nya yang begitu besar dibandingkan bank digital lain yang hanya 1 - 4 % sedangkan superbank perhari 0.30% diakumulasikan 1 bulan -+ 9% perbulan sangat tidak rekomendasi,No
"	transaksi saya cm d proses,chat CS ga ada respon,chat email jg ga ada respon.. trus kmna bs d resoon,transaksi saya gmna",Yes
"	Applikasi Oke, Tapi layanan CSnya sangat kurang, saya mencoba menghubungi lewat Aplikasi, Email, DM IG, X, Tiktok, Facebook tidak ada jawaban sama sekali",Yes
Transfer berkali-kali gratis admin,No
"	Terbaik dan sangat memuaskan apk yang satu ini, sangat mudah dipakai dengan berbagai kelebihan seperti fitur yang lengkap dan juga sangat komplit banget,sangat cocok dipakai melakukan berbagai transaksi seperti transfer,beli pulsa ,bayar tagihan listrik semua lancar dan oke banget ya,diantara beberapa apk lain yang serupa dengan apk nya sih masih belum ada yang mampu memberikan pelayanan semaksimal mungkin seperti apk yang satu ini,salah satu apk yang cocok dipakai melakukan berbagai transaksi.",No
"	woiii apk penipu balikin duit gue , transaksi ga ada yg aneh2 tau2 akun ke blok dgn sndrinya mna susah komplain cs lemot bgt anjir 😭 balikin duit gue",Yes
kecewa g bsa pinjem pdhl dh download,No
"	Apk nya selalu menjadi pilihan tepat saat ingjn melakukan berbagai transaksi,mudah digunakan dan sangat cepat banget ya saat bertransaksi semua oke bamget ya,salah satu apk terbaik yang ada saat ini dan cocok dipakai kapan dan dimana pun kita beradah ya,menurut aku sih apk ini sudah sangat bagus dan lengkap hanya tinggal ditambah kan beberapa fitur pelengkap nya seperti 360/utc untuk memudah kan menggunakan apk nya saat jaringan lagi kurang stabil ya.",No
tolong berbagai masa setiap transfer ke bang lain harus ada admin nya Rp. 3500,No
"	Simpel dan cepat ya apk yang satu ini,mudah dipakai dengan berbagai kelebiha"" yang sangat banyak dibandingkan apk lain yang serupa dengan apk yang satu ini ya,terbaik dan sangat cepat banget ketika dipakai ya,menurut aku sih apk ini sudah sangat bagus ya tinggal ditambah kan beberapa fitur pelengkap seperti 360/UTC untuk memudahkan menggunakan apk nya saat jaringan lagi kurang stabil ya.Selebihnya sudah sangat bagus dan cukup memuaskan menurut aku ya.",No
aplikasi apaan ini iklan aja digedein di grab.. ditelp ke cs menunggu ngabisin pulsa.. di chat via email jawabannya seperti robot.. bagaimana mau dapat banyak customer kalau mau daftar saja dipersulit,Yes
"	aplikasi aneh.setiap mau daftar mengajukan selalu tampil data kurang apa lah.seharusnya klo emg harus di perbarui.ksih tau dimana salahnya,jika tidak niat mau meminjamkan dana jngn kau persulit di sini orang yang mau pinjm bkn brti tidak bs membayar atau pun ingin di sengaja tidak bayar.buat apa tampil pinjman superbank di grab jika sulit untuk meminjam.",No
